ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N_interpretations,Strength,resources,Simile_come_cloze_surprisal__sapienzanlp_Minerva_1B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_3B_base_v1_0,source_llm__sapienzanlp_Minerva_3B_base_v1_0,Diff_Log_Likelihood_Minerva_350M_base_v1_0,Diff_Log_Likelihood_Minerva_3B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Diff_Log_Likelihood_Minerva_1B_base_v1_0,Unnamed: 38,Unnamed: 39,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_7B_base_v1_0,Diff_Log_Likelihood_Minerva_7B_base_v1_0
1,aeroplano,piuma,,L'aeroplano è una piuma.,L'aeroplano è come una piuma.,oca,9.0,,,,5.0,10.0,32.0,4.408,4.338,2.765,3.529,3.529,5.4,0.691,1.619,4.636,Bambini et al. (2024),6.5625,-2.875,-2.770833333,6.75,sapienzanlp/Minerva-350M-base-v1.0,-3.022727273,-2.875,7.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.104166667,-0.147727273,-3.272727273,-2.9375,-0.335227273,,,-2.997159090909091,-2.825520833333333,7.86328125,-0.1716382575757578
2,amicizia,cuscino,,L'amicizia è un cuscino.,L'amicizia è come un cuscino.,letto,8.0,,,,7.0,212.0,57.0,3.121,5.036,2.2,4.6,3.067,5.867,0.877,1.714,4.727,Bambini et al. (2024),6.9375,-3.953125,-3.055555556,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.609375,-3.013888889,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.897569444,-0.595486111,-3.625,-3.222222222,-0.402777778,,,-3.935546875,-3.423611111111111,7.7890625,-0.5119357638888888
3,anima,pianoforte,,L'anima è un pianoforte.,L'anima è come un pianoforte.,tasto,5.0,,,,10.0,341.0,70.0,2.726,4.591,2.667,4.6,2.733,4.667,0.791,1.556,4.867,Bambini et al. (2024),7.03125,-4.267857143,-3.421875,7.125,sapienzanlp/Minerva-350M-base-v1.0,-4.0,-3.34375,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.845982143,-0.65625,-3.875,-3.390625,-0.484375,,,-4.522321428571429,-3.42578125,7.94140625,-1.0965401785714288
4,apparenza,trappola,,L'apparenza è una trappola.,L'apparenza è come una trappola.,topo,9.0,,,,8.0,82.0,56.0,2.415,3.91,4.0,3.067,3.333,5.8,0.727,1.619,4.727,Bambini et al. (2024),6.90625,-3.013888889,-3.275,6.125,sapienzanlp/Minerva-350M-base-v1.0,-2.972222222,-3.05,7.1875,sapienzanlp/Minerva-3B-base-v1.0,0.261111111,0.077777778,-2.958333333,-3.35,0.391666667,,,-3.8236607142857135,-4.13671875,7.03515625,0.3130580357142865
5,aula,teatro,,L'aula è un teatro.,L'aula è come un teatro.,spettacolo,4.0,,,,6.0,225.0,496.0,4.339,3.558,2.867,2.867,3.933,2.667,0.732,2.0,4.385,Bambini et al. (2024),7.53125,-4.035714286,-3.640625,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-3.767857143,-3.640625,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.395089286,-0.127232143,-4.0,-3.640625,-0.359375,,,-4.035714285714286,-3.626953125,8.953125,-0.4087611607142856
6,autismo,cactus,,L'autismo è un cactus.,L'autismo è come un cactus.,deserto,7.0,,,,6.0,1.0,10.0,3.232,4.319,2.0,4.6,2.533,6.333,0.895,1.333,4.143,Bambini et al. (2024),6.84375,-3.6,-3.090909091,7.15625,sapienzanlp/Minerva-350M-base-v1.0,-3.7,-3.090909091,6.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.509090909,-0.609090909,-3.725,-2.897727273,-0.827272727,,,-4.28125,-3.390625,8.03125,-0.890625
7,barba,lana,,La barba è una lana.,La barba è come una lana.,cotone,5.0,,,,4.0,70.0,50.0,4.304,4.597,2.412,3.118,3.941,4.867,0.665,1.5,4.933,Bambini et al. (2024),7.4375,-4.964285714,-4.21875,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-5.035714286,-4.84375,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.745535714,-0.191964286,-5.214285714,-4.40625,-0.808035714,,,-5.390625,-5.428571428571429,7.7265625,0.037946428571428825
8,biblioteca,tesoro,,La biblioteca è un tesoro.,La biblioteca è come un tesoro.,corona,10.0,,,,6.0,102.0,191.0,4.24,3.697,3.333,2.933,3.6,4.667,0.738,2.095,5.545,Bambini et al. (2024),7.875,-4.375,-4.5,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.083333333,-4.0,7.40625,sapienzanlp/Minerva-3B-base-v1.0,0.125,-0.083333333,-4.229166667,-3.928571429,-0.300595238,,,-4.174479166666667,-4.243303571428571,7.69140625,0.06882440476190421
9,burocrazia,labirinto,,La burocrazia è un labirinto.,La burocrazia è come un labirinto.,siepe,10.0,,,,9.0,39.0,27.0,2.49,3.671,5.0,2.333,4.4,5.867,0.726,1.7,5.091,Bambini et al. (2024),7.5625,-3.166666667,-3.1125,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-2.722222222,-2.6875,8.125,sapienzanlp/Minerva-3B-base-v1.0,-0.054166667,-0.034722222,-2.958333333,-3.1,0.141666667,,,-3.9348958333333335,-3.720982142857143,7.3828125,-0.2139136904761907
10,caffè,benzina,,Il caffè è una benzina.,Il caffè è come una benzina.,rifornimento,5.0,,,,7.0,164.0,108.0,4.487,4.458,2.412,3.0,3.941,5.2,0.61,1.333,6.062,Bambini et al. (2024),7.5,-4.8125,-4.214285714,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.916666667,-4.375,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.598214286,-0.541666667,-5.1875,-4.339285714,-0.848214286,,,-5.098958333333333,-4.642857142857143,7.34765625,-0.4561011904761898
11,censura,manetta,,La censura è una manetta.,La censura è come una manetta.,polso,7.0,,,,7.0,52.0,59.0,3.032,4.135,4.0,2.533,3.933,4.933,0.882,1.619,4.917,Bambini et al. (2024),7.34375,-4.78125,-4.5,6.875,sapienzanlp/Minerva-350M-base-v1.0,-4.40625,-3.944444444,7.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.28125,-0.461805556,-4.90625,-4.361111111,-0.545138889,,,-5.120535714285714,-4.5390625,7.41015625,-0.5814732142857144
12,cervello,noce,,Il cervello è una noce.,Il cervello è come una noce.,mandorla,8.0,,,,4.0,178.0,54.0,3.69,4.414,3.294,2.765,4.529,5.067,0.817,2.0,5.389,Bambini et al. (2024),7.03125,-4.821428571,-3.875,7.0,sapienzanlp/Minerva-350M-base-v1.0,-3.857142857,-3.78125,7.15625,sapienzanlp/Minerva-3B-base-v1.0,-0.946428571,-0.075892857,-4.464285714,-4.125,-0.339285714,,,-3.959821428571429,-3.42578125,7.48828125,-0.5340401785714288
13,cinismo,armatura,,Il cinismo è un'armatura.,Il cinismo è come un'armatura.,elmo,7.0,,,,8.0,27.0,14.0,2.326,4.141,3.333,3.667,3.467,6.2,0.851,1.5,5.133,Bambini et al. (2024),7.59375,-3.75,-3.275,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.527777778,-3.425,7.875,sapienzanlp/Minerva-3B-base-v1.0,-0.475,-0.102777778,-3.888888889,-3.55,-0.338888889,,,-3.6944444444444446,-3.38125,7.53515625,-0.31319444444444455
14,contratto,guinzaglio,,Il contratto è un guinzaglio.,Il contratto è come un guinzaglio.,cane,9.0,,,,10.0,338.0,11.0,3.242,4.118,2.412,3.824,3.706,6.133,0.799,1.25,5.312,Bambini et al. (2024),6.46875,-4.53125,-3.722222222,6.5,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.777777778,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.809027778,-0.284722222,-4.6875,-3.972222222,-0.715277778,,,-4.3515625,-3.7743055555555554,9.09375,-0.5772569444444446
15,cooperazione,orchestra,,La cooperazione è un'orchestra.,La cooperazione è come un'orchestra.,concerto,12.0,,,,9.0,51.0,168.0,2.131,4.036,4.733,2.267,5.733,4.067,0.786,1.65,4.818,Bambini et al. (2024),7.40625,-4.34375,-3.833333333,6.53125,sapienzanlp/Minerva-350M-base-v1.0,-3.90625,-3.263888889,7.03125,sapienzanlp/Minerva-3B-base-v1.0,-0.510416667,-0.642361111,-3.890625,-3.430555556,-0.460069444,,,-4.361607142857143,-3.638671875,7.9765625,-0.7229352678571432
16,corruzione,ragnatela,,La corruzione è una ragnatela.,La corruzione è come una ragnatela.,polvere,10.0,,,,9.0,138.0,17.0,2.317,4.186,2.598,3.278,3.921,5.867,0.691,1.6,5.286,Bambini et al. (2024),7.40625,-3.875,-3.583333333,7.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.859375,-3.416666667,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.291666667,-0.442708333,-3.96875,-3.583333333,-0.385416667,,,-3.361328125,-3.0260416666666665,7.796875,-0.3352864583333335
17,coscienza,specchio,,La coscienza è uno specchio.,La coscienza è come uno specchio.,riflesso,9.0,,,,8.0,238.0,138.0,2.198,4.007,4.2,3.467,3.733,6.0,0.713,1.9,5.385,Bambini et al. (2024),7.09375,-4.833333333,-4.0,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.270833333,-3.785714286,6.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.833333333,-0.485119048,-4.375,-3.857142857,-0.517857143,,,-4.065104166666667,-3.330357142857143,6.3515625,-0.7347470238095242
18,cravatta,cappio,,La cravatta è un cappio.,La cravatta è come un cappio.,corda,8.0,,,,6.0,48.0,6.0,4.485,4.578,3.933,2.133,4.933,3.933,0.524,1.8,5.056,Bambini et al. (2024),7.0,-3.944444444,-3.45,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-3.430555556,-3.375,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.494444444,-0.055555556,-3.638888889,-3.45,-0.188888889,,,-3.9375,-3.795138888888889,7.3671875,-0.14236111111111116
19,curiosità,lente,,La curiosità è una lente.,La curiosità è come una lente.,occhiali,9.0,,,,5.0,175.0,31.0,2.857,3.501,4.267,3.267,4.067,6.133,0.809,1.7,4.917,Bambini et al. (2024),7.1875,-5.375,-4.607142857,6.09375,sapienzanlp/Minerva-350M-base-v1.0,-5.125,-4.5,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.767857143,-0.625,-4.8125,-4.392857143,-0.419642857,,,-4.963541666666667,-4.723214285714286,6.953125,-0.24032738095238138
20,debito,catena,,Il debito è una catena.,Il debito è come una catena.,anello,6.0,,,,6.0,182.0,134.0,3.085,3.856,2.533,3.533,2.867,5.733,0.897,1.5,4.824,Bambini et al. (2024),6.84375,-4.854166667,-4.375,5.375,sapienzanlp/Minerva-350M-base-v1.0,-4.583333333,-4.214285714,6.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.479166667,-0.369047619,-5.375,-4.678571429,-0.696428571,,,-4.3125,-4.055803571428571,6.65234375,-0.2566964285714288
21,delusione,crepa,,La delusione è una crepa.,La delusione è come una crepa.,parete,9.0,,,,5.0,113.0,11.0,2.642,4.488,3.133,3.933,3.333,5.533,0.66,1.619,5.333,Bambini et al. (2024),6.1875,-3.90625,-3.638888889,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.916666667,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.267361111,-0.145833333,-4.1875,-3.75,-0.4375,,,-4.569196428571429,-3.927734375,7.0078125,-0.6414620535714288
22,entusiasmo,vulcano,,L'entusiasmo è un vulcano.,L'entusiasmo è come un vulcano.,lava,10.0,,,,7.0,175.0,30.0,2.536,4.191,4.533,2.4,4.6,5.333,0.756,1.6,6.312,Bambini et al. (2024),6.8125,-3.444444444,-3.275,7.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.472222222,-3.1625,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.169444444,-0.309722222,-3.222222222,-3.175,-0.047222222,,,-4.473214285714286,-3.9140625,7.16015625,-0.5591517857142856
23,famiglia,nido,,La famiglia è un nido.,La famiglia è come un nido.,uccello,8.0,,,,4.0,1430.0,59.0,3.772,4.554,6.0,1.733,5.333,5.2,0.71,2.0,6.333,Bambini et al. (2024),6.9375,-4.208333333,-3.821428571,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.75,-3.607142857,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.386904762,-0.142857143,-4.208333333,-3.964285714,-0.244047619,,,-3.921875,-3.830357142857143,7.828125,-0.0915178571428572
24,fede,fiamma,,La fede è una fiamma.,La fede è come una fiamma.,candela,4.0,,,,6.0,231.0,151.0,2.356,4.013,4.892,2.067,4.889,5.467,0.621,1.7,5.118,Bambini et al. (2024),7.125,-4.75,-4.178571429,6.46875,sapienzanlp/Minerva-350M-base-v1.0,-4.270833333,-3.857142857,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.571428571,-0.413690476,-4.5625,-4.160714286,-0.401785714,,,-4.28125,-4.008928571428571,7.1171875,-0.2723214285714288
25,fedeltà,nodo,,La fedeltà è un nodo.,La fedeltà è come un nodo.,spago,7.0,,,,4.0,61.0,95.0,2.389,3.882,3.837,3.667,4.8,5.467,0.867,1.95,4.636,Bambini et al. (2024),7.09375,-4.979166667,-4.5,6.25,sapienzanlp/Minerva-350M-base-v1.0,-4.979166667,-4.375,7.28125,sapienzanlp/Minerva-3B-base-v1.0,-0.479166667,-0.604166667,-5.0625,-4.642857143,-0.419642857,,,-4.9375,-4.8125,7.40234375,-0.125
26,film,mattone,,Il film è un mattone.,Il film è come un mattone.,casa,4.0,,,,7.0,1226.0,64.0,3.608,4.38,3.0,3.412,3.059,5.667,0.772,1.2,5.357,Bambini et al. (2024),7.21875,-4.071428571,-3.84375,6.40625,sapienzanlp/Minerva-350M-base-v1.0,-3.875,-3.75,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.227678571,-0.125,-4.178571429,-4.21875,0.040178571,,,-3.8950892857142856,-3.837890625,8.0546875,-0.05719866071428559
27,idea,scintilla,,L'idea è una scintilla.,L'idea è come una scintilla.,fiammifero,4.0,,,,9.0,1058.0,28.0,2.486,3.428,5.133,2.133,4.667,5.267,0.688,1.85,5.545,Bambini et al. (2024),6.40625,-3.78125,-3.638888889,6.1875,sapienzanlp/Minerva-350M-base-v1.0,-3.59375,-3.25,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.142361111,-0.34375,-3.859375,-3.611111111,-0.248263889,,,-3.69140625,-3.243055555555556,7.7734375,-0.4483506944444442
28,ignoranza,prigione,,L'ignoranza è una prigione.,L'ignoranza è come una prigione.,riformatorio,9.0,,,,8.0,39.0,82.0,1.894,3.89,3.4,3.0,3.667,5.2,0.789,1.667,5.118,Bambini et al. (2024),7.09375,-3.055555556,-3.0,7.28125,sapienzanlp/Minerva-350M-base-v1.0,-2.777777778,-2.925,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.055555556,0.147222222,-2.930555556,-3.125,0.194444444,,,-3.7075892857142856,-3.720703125,7.34765625,0.013113839285714413
29,insistenza,trapano,,L'insistenza è un trapano.,L'insistenza è come un trapano.,buco,10.0,,,,7.0,34.0,9.0,2.815,4.598,5.533,1.867,5.467,5.467,0.83,1.905,5.417,Bambini et al. (2024),6.375,-4.277777778,-3.775,6.46875,sapienzanlp/Minerva-350M-base-v1.0,-4.0,-3.675,7.78125,sapienzanlp/Minerva-3B-base-v1.0,-0.502777778,-0.325,-4.111111111,-3.925,-0.186111111,,,-4.107638888888889,-3.803125,7.6796875,-0.3045138888888892
30,intelligenza,scala,,L'intelligenza è una scala.,L'intelligenza è come una scala.,gradino,12.0,,,,5.0,107.0,217.0,2.361,3.721,4.6,3.4,2.933,5.533,0.71,1.5,3.933,Bambini et al. (2024),6.8125,-3.892857143,-3.46875,6.875,sapienzanlp/Minerva-350M-base-v1.0,-3.892857143,-3.5625,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.424107143,-0.330357143,-4.232142857,-3.84375,-0.388392857,,,-4.46875,-3.392578125,7.1484375,-1.076171875
31,interrogatorio,tritacarne,,L'interrogatorio è un tritacarne.,L'interrogatorio è come un tritacarne.,polpetta,14.0,,,,10.0,127.0,1.0,3.635,,2.0,4.6,3.133,6.667,0.804,1.19,4.364,Bambini et al. (2024),6.875,-2.916666667,-2.75,6.53125,sapienzanlp/Minerva-350M-base-v1.0,-3.125,-2.865384615,8.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.166666667,-0.259615385,-3.083333333,-3.0,-0.083333333,,,-3.3307291666666665,-2.730769230769231,9.140625,-0.5999599358974357
32,intuizione,chiave,,L'intuizione è una chiave.,L'intuizione è come una chiave.,lucchetto,10.0,,,,6.0,50.0,250.0,2.032,2.946,2.8,3.867,3.667,5.333,0.641,1.5,5.133,Bambini et al. (2024),6.5,-3.097222222,-3.05,5.84375,sapienzanlp/Minerva-350M-base-v1.0,-3.180555556,-3.0375,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.047222222,-0.143055556,-3.263888889,-3.0,-0.263888889,,,-3.447265625,-3.5729166666666665,7.21875,0.12565104166666652
33,istituzione,ingranaggio,,L'istituzione è un ingranaggio.,L'istituzione è come un ingranaggio.,macchina,11.0,,,,11.0,225.0,11.0,2.616,4.172,3.067,3.867,3.267,5.467,0.753,1.7,5.0,Bambini et al. (2024),6.90625,-4.027777778,-3.7,6.59375,sapienzanlp/Minerva-350M-base-v1.0,-3.486111111,-3.525,7.03125,sapienzanlp/Minerva-3B-base-v1.0,-0.327777778,0.038888889,-3.944444444,-3.75,-0.194444444,,,-3.9340277777777777,-3.909375,8.59375,-0.024652777777777857
34,labbro,gommone,,Il labbro è un gommone.,Il labbro è come un gommone.,salvagente,6.0,,,,7.0,158.0,7.0,4.272,4.678,3.706,3.294,4.176,5.533,0.782,1.375,5.833,Bambini et al. (2024),6.625,-3.575,-3.181818182,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.975,-3.522727273,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.393181818,-0.452272727,-3.975,-3.522727273,-0.452272727,,,-4.392361111111111,-3.715625,7.890625,-0.6767361111111105
35,lacrima,fontana,,La lacrima è una fontana.,La lacrima è come una fontana.,giardino,7.0,,,,7.0,176.0,40.0,4.222,4.531,4.588,2.059,5.235,5.067,0.685,1.85,6.385,Bambini et al. (2024),6.90625,-4.21875,-3.861111111,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.40625,-4.083333333,7.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.357638889,-0.322916667,-4.1875,-3.833333333,-0.354166667,,,-4.696428571428571,-4.3671875,7.984375,-0.3292410714285712
36,libro,finestra,,Il libro è una finestra.,Il libro è come una finestra.,tapparella,5.0,,,,8.0,1004.0,287.0,3.838,4.962,3.0,3.0,3.733,4.867,0.841,2.0,5.417,Bambini et al. (2024),6.9375,-4.5625,-3.928571429,6.25,sapienzanlp/Minerva-350M-base-v1.0,-4.145833333,-3.928571429,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.633928571,-0.217261905,-5.0,-4.25,-0.75,,,-4.171875,-3.904017857142857,7.6484375,-0.2678571428571428
37,linguaggio,ponte,,Il linguaggio è un ponte.,Il linguaggio è come un ponte.,fiume,11.0,,,,5.0,166.0,166.0,2.484,4.404,2.8,3.267,3.467,5.267,0.694,1.6,5.562,Bambini et al. (2024),6.78125,-4.458333333,-4.25,6.15625,sapienzanlp/Minerva-350M-base-v1.0,-4.145833333,-4.053571429,6.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.208333333,-0.092261905,-4.145833333,-4.0,-0.145833333,,,-3.8802083333333335,-3.649553571428572,6.921875,-0.23065476190476142
38,lusinga,miele,,La lusinga è un miele.,La lusinga è come il miele.,sciroppo,7.0,,,,5.0,7.0,63.0,,4.747,3.733,3.467,3.067,6.0,0.811,1.6,5.25,Bambini et al. (2024),7.0,-4.59375,-3.583333333,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.6875,-3.555555556,7.25,sapienzanlp/Minerva-3B-base-v1.0,-1.010416667,-1.131944444,-4.8125,-4.083333333,-0.729166667,,,-4.453125,-3.625,6.15625,-0.828125
39,memoria,quaderno,,La memoria è un quaderno.,La memoria è come un quaderno.,penna,7.0,,,,8.0,313.0,18.0,3.374,4.457,4.533,2.667,4.667,3.867,0.683,2.05,5.0,Bambini et al. (2024),7.125,-4.107142857,-3.5625,6.59375,sapienzanlp/Minerva-350M-base-v1.0,-4.107142857,-3.640625,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.544642857,-0.466517857,-4.053571429,-3.71875,-0.334821429,,,-4.044642857142857,-3.501953125,7.63671875,-0.5426897321428568
40,menzogna,maschera,,La menzogna è una maschera.,La menzogna è come una maschera.,carnevale,8.0,,,,8.0,32.0,93.0,2.546,4.211,5.0,2.867,4.533,5.8,0.627,1.7,6.111,Bambini et al. (2024),7.28125,-3.484375,-3.347222222,6.0625,sapienzanlp/Minerva-350M-base-v1.0,-3.34375,-3.291666667,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.137152778,-0.052083333,-3.5625,-3.75,0.1875,,,-3.5669642857142856,-3.552734375,6.9296875,-0.014229910714285587
41,mondo,serra,,Il mondo è una serra.,Il mondo è come una serra.,pianta,5.0,,,,5.0,2193.0,38.0,3.155,3.709,3.4,2.667,3.8,4.533,0.844,1.5,4.5,Bambini et al. (2024),7.5,-4.666666667,-3.857142857,6.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.208333333,-4.303571429,7.65625,sapienzanlp/Minerva-3B-base-v1.0,-0.80952381,0.095238095,-4.208333333,-3.75,-0.458333333,,,-3.9921875,-3.819196428571429,7.53125,-0.17299107142857117
42,motivazione,molla,,La motivazione è una molla.,La motivazione è come una molla.,materasso,11.0,,,,5.0,98.0,31.0,2.51,4.324,3.667,3.2,3.667,5.667,0.675,1.476,4.727,Bambini et al. (2024),7.0625,-4.214285714,-3.859375,5.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.0,-3.609375,7.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.354910714,-0.390625,-4.232142857,-3.921875,-0.310267857,,,-4.6640625,-3.890625,8.40625,-0.7734375
43,nebbia,velo,,La nebbia è un velo.,La nebbia è come un velo.,abito,6.0,,,,4.0,98.0,102.0,3.959,4.318,5.133,1.933,5.333,3.8,0.658,1.81,5.583,Bambini et al. (2024),6.6875,-4.142857143,-3.671875,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.142857143,-3.515625,7.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.470982143,-0.627232143,-4.089285714,-3.546875,-0.542410714,,,-5.1484375,-3.828125,7.265625,-1.3203125
44,nuvola,perla,,La nuvola è una perla.,La nuvola è come una perla.,collana,6.0,,,,5.0,79.0,30.0,4.497,4.006,2.067,3.933,2.6,5.8,0.7,1.5,4.812,Bambini et al. (2024),6.875,-3.890625,-3.638888889,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.3125,-4.055555556,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.251736111,-0.256944444,-4.0,-3.777777778,-0.222222222,,,-4.642857142857143,-4.015625,7.49609375,-0.6272321428571432
45,orecchino,lampadario,,L'orecchino è un lampadario.,L'orecchino è come un lampadario.,soffitto,9.0,,,,10.0,24.0,7.0,4.702,5.097,2.647,3.235,4.0,4.333,0.63,1.8,5.059,Bambini et al. (2024),7.0,-3.272727273,-3.145833333,7.0,sapienzanlp/Minerva-350M-base-v1.0,-3.25,-3.0,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.126893939,-0.25,-3.363636364,-3.125,-0.238636364,,,-3.915625,-3.434659090909091,8.515625,-0.4809659090909091
46,orgoglio,scudo,,L'orgoglio è uno scudo.,L'orgoglio è come uno scudo.,stemma,8.0,,,,5.0,110.0,37.0,2.596,4.563,3.2,4.4,3.867,6.067,0.697,1.333,5.529,Bambini et al. (2024),6.9375,-3.402777778,-3.075,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-3.152777778,-3.1,7.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.327777778,-0.052777778,-3.375,-3.275,-0.1,,,-4.410714285714286,-4.078125,7.23828125,-0.3325892857142856
47,ossessione,chiodo,,L'ossessione è un chiodo.,L'ossessione è come un chiodo.,martello,10.0,,,,6.0,45.0,44.0,2.582,4.407,5.6,2.067,5.0,6.2,0.738,1.5,5.818,Bambini et al. (2024),6.25,-3.666666667,-3.25,6.5,sapienzanlp/Minerva-350M-base-v1.0,-3.375,-3.0375,8.125,sapienzanlp/Minerva-3B-base-v1.0,-0.416666667,-0.3375,-3.694444444,-3.525,-0.169444444,,,-3.9722222222222223,-3.64375,7.51953125,-0.3284722222222225
48,ottimismo,batteria,,L'ottimismo è una batteria.,L'ottimismo è come una batteria.,telefono,9.0,,,,8.0,69.0,61.0,2.048,4.106,1.667,4.2,1.667,5.933,0.947,1.5,4.714,Bambini et al. (2024),7.03125,-3.859375,-3.583333333,7.28125,sapienzanlp/Minerva-350M-base-v1.0,-4.03125,-3.583333333,6.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.276041667,-0.447916667,-4.1875,-3.555555556,-0.631944444,,,-4.5859375,-3.798611111111111,7.625,-0.7873263888888888
49,pane,spugna,,Il pane è una spugna.,Il pane è come una spugna.,straccio,4.0,,,,6.0,187.0,38.0,4.666,4.279,2.6,2.733,3.267,4.8,0.801,1.5,4.385,Bambini et al. (2024),7.53125,-4.107142857,-3.5625,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-3.910714286,-3.5,7.65625,sapienzanlp/Minerva-3B-base-v1.0,-0.544642857,-0.410714286,-4.196428571,-3.609375,-0.587053571,,,-4.055803571428571,-3.81640625,7.83203125,-0.23939732142857117
