ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N_interpretations,Strength,resources,Simile_come_cloze_surprisal__sapienzanlp_Minerva_1B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_3B_base_v1_0,source_llm__sapienzanlp_Minerva_3B_base_v1_0,Diff_Log_Likelihood_Minerva_350M_base_v1_0,Diff_Log_Likelihood_Minerva_3B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Diff_Log_Likelihood_Minerva_1B_base_v1_0,Unnamed: 38,Unnamed: 39,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_7B_base_v1_0,Diff_Log_Likelihood_Minerva_7B_base_v1_0
50,patatina,cartone,,La patatina è un cartone.,La patatina è come un cartone.,pacco,8.0,,,,7.0,7.0,64.0,4.928,4.273,3.412,2.941,4.529,3.533,0.734,1.4,4.25,Bambini et al. (2024),7.4375,-5.142857143,-4.8125,6.71875,sapienzanlp/Minerva-350M-base-v1.0,-5.75,-4.96875,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.330357143,-0.78125,-5.214285714,-4.71875,-0.495535714,,,-5.575892857142857,-4.89453125,7.62109375,-0.6813616071428568
51,paura,tenaglia,,La paura è una tenaglia.,La paura è come una tenaglia.,bullone,5.0,,,,8.0,698.0,6.0,2.739,3.872,4.467,3.2,4.533,5.8,0.738,1.2,5.529,Bambini et al. (2024),6.8125,-4.071428571,-3.75,6.46875,sapienzanlp/Minerva-350M-base-v1.0,-4.196428571,-3.5625,7.875,sapienzanlp/Minerva-3B-base-v1.0,-0.321428571,-0.633928571,-4.285714286,-3.734375,-0.551339286,,,-4.160714285714286,-3.87109375,7.0390625,-0.2896205357142856
52,pelle,ceramica,,La pelle è una ceramica.,La pelle è come una ceramica.,bambola,5.0,,,,8.0,425.0,50.0,4.701,4.1,4.333,2.6,4.867,5.2,0.671,1.6,4.909,Bambini et al. (2024),7.5,-5.125,-4.017857143,6.5,sapienzanlp/Minerva-350M-base-v1.0,-5.25,-4.678571429,8.0,sapienzanlp/Minerva-3B-base-v1.0,-1.107142857,-0.571428571,-5.416666667,-4.553571429,-0.863095238,,,-5.208333333333333,-4.660714285714286,8.109375,-0.5476190476190474
53,pianto,cascata,,Il pianto è una cascata.,Il pianto è come una cascata.,roccia,6.0,,,,7.0,35.0,25.0,3.973,4.07,4.118,2.412,4.882,5.333,0.763,1.9,5.909,Bambini et al. (2024),6.1875,-3.84375,-3.277777778,6.125,sapienzanlp/Minerva-350M-base-v1.0,-4.125,-3.5,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.565972222,-0.625,-4.375,-3.527777778,-0.847222222,,,-5.484375,-4.424107142857143,7.09375,-1.0602678571428568
54,piede,barca,,Il piede è una barca.,Il piede è come una barca.,vela,5.0,,,,5.0,704.0,171.0,4.116,4.61,2.882,3.235,4.059,4.267,0.774,1.1,4.083,Bambini et al. (2024),6.84375,-5.125,-4.375,6.4375,sapienzanlp/Minerva-350M-base-v1.0,-5.625,-4.267857143,7.5625,sapienzanlp/Minerva-3B-base-v1.0,-0.75,-1.357142857,-5.583333333,-4.267857143,-1.31547619,,,-5.947916666666667,-4.741071428571429,7.4921875,-1.2068452380952381
55,pigiama,stufa,,Il pigiama è una stufa.,Il pigiama è come una stufa.,caldaia,7.0,,,,5.0,16.0,20.0,4.609,4.537,4.467,2.4,5.467,3.467,0.77,1.75,5.0,Bambini et al. (2024),6.625,-3.6,-3.25,6.96875,sapienzanlp/Minerva-350M-base-v1.0,-3.625,-3.659090909,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.35,0.034090909,-3.55,-3.295454545,-0.254545455,,,-3.8680555555555554,-3.703125,7.640625,-0.16493055555555536
56,poesia,violino,,La poesia è un violino.,La poesia è come un violino.,sonata,6.0,,,,7.0,153.0,35.0,2.934,4.505,3.6,3.267,3.933,4.467,0.763,1.4,4.375,Bambini et al. (2024),7.125,-4.25,-3.546875,6.5,sapienzanlp/Minerva-350M-base-v1.0,-3.928571429,-3.46875,7.34375,sapienzanlp/Minerva-3B-base-v1.0,-0.703125,-0.459821429,-4.214285714,-3.4375,-0.776785714,,,-4.661458333333333,-3.991071428571429,7.66015625,-0.6703869047619042
57,politica,giostra,,La politica è una giostra.,La politica è come una giostra.,scivolo,8.0,,,,7.0,765.0,21.0,2.57,4.212,2.667,4.6,2.933,5.733,0.677,1.6,3.917,Bambini et al. (2024),7.96875,-3.75,-3.46875,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.964285714,-3.53125,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.28125,-0.433035714,-3.946428571,-3.59375,-0.352678571,,,-3.758928571428572,-3.125,7.3203125,-0.6339285714285721
58,pregiudizio,benda,,Il pregiudizio è una benda.,Il pregiudizio è come una benda.,occhi,11.0,,,,5.0,64.0,8.0,2.085,4.47,4.067,2.889,4.241,5.333,0.798,1.4,5.667,Bambini et al. (2024),7.125,-4.625,-3.888888889,6.75,sapienzanlp/Minerva-350M-base-v1.0,-4.375,-3.583333333,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.736111111,-0.791666667,-4.59375,-3.833333333,-0.760416667,,,-4.90625,-3.796875,7.44140625,-1.109375
59,rancore,miccia,,Il rancore è una miccia.,Il rancore è come una miccia.,dinamite,7.0,,,,6.0,44.0,4.0,2.983,4.534,3.467,3.333,3.933,6.267,0.82,1.8,4.882,Bambini et al. (2024),6.625,-3.722222222,-3.575,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.319444444,-3.225,7.875,sapienzanlp/Minerva-3B-base-v1.0,-0.147222222,-0.094444444,-3.666666667,-3.45,-0.216666667,,,-3.390625,-3.1578125,7.3515625,-0.2328125000000001
60,regola,gabbia,,La regola è una gabbia.,La regola è come una gabbia.,sbarre,6.0,,,,6.0,513.0,54.0,2.97,4.597,2.541,3.0,2.867,5.133,0.749,1.714,4.636,Bambini et al. (2024),7.0,-4.607142857,-4.375,6.375,sapienzanlp/Minerva-350M-base-v1.0,-4.267857143,-3.9375,7.09375,sapienzanlp/Minerva-3B-base-v1.0,-0.232142857,-0.330357143,-4.303571429,-4.5625,0.258928571,,,-4.973958333333333,-4.839285714285714,8.4296875,-0.13467261904761862
61,rimorso,spina,,Il rimorso è una spina.,Il rimorso è come una spina.,rosa,7.0,,,,5.0,34.0,41.0,2.911,4.2,3.2,3.267,5.133,5.667,0.825,1.35,4.545,Bambini et al. (2024),6.25,-5.107142857,-4.375,6.03125,sapienzanlp/Minerva-350M-base-v1.0,-4.5,-3.890625,8.25,sapienzanlp/Minerva-3B-base-v1.0,-0.732142857,-0.609375,-4.928571429,-4.15625,-0.772321429,,,-4.629464285714286,-3.765625,6.984375,-0.8638392857142856
62,sarcasmo,pugnale,,Il sarcasmo è un pugnale.,Il sarcasmo è come un pugnale.,spada,8.0,,,,7.0,17.0,12.0,2.817,4.447,2.733,3.6,3.267,5.867,0.672,1.5,4.938,Bambini et al. (2024),7.0625,-3.6,-3.25,6.59375,sapienzanlp/Minerva-350M-base-v1.0,-2.9125,-2.818181818,7.5625,sapienzanlp/Minerva-3B-base-v1.0,-0.35,-0.094318182,-3.925,-3.295454545,-0.629545455,,,-3.5972222222222223,-3.30625,7.546875,-0.2909722222222224
63,sentiero,nastro,,Il sentiero è un nastro.,Il sentiero è come un nastro.,regalo,8.0,,,,6.0,67.0,84.0,4.33,4.574,2.412,3.412,3.706,4.933,0.728,1.571,4.5,Bambini et al. (2024),7.25,-5.333333333,-4.892857143,6.875,sapienzanlp/Minerva-350M-base-v1.0,-5.0625,-4.571428571,7.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.44047619,-0.491071429,-5.541666667,-4.678571429,-0.863095238,,,-5.002604166666667,-4.607142857142857,7.97265625,-0.3954613095238102
64,silenzio,muro,,Il silenzio è un muro.,Il silenzio è come un muro.,cemento,8.0,,,,4.0,381.0,343.0,3.254,4.749,4.867,3.067,4.467,5.867,0.647,1.9,5.818,Bambini et al. (2024),7.53125,-4.3125,-3.625,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.145833333,-3.75,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.6875,-0.395833333,-4.25,-3.964285714,-0.285714286,,,-4.015625,-3.8638392857142856,6.953125,-0.1517857142857144
65,società,mosaico,,La società è un mosaico.,La società è come un mosaico.,arte,7.0,,,,7.0,1078.0,38.0,3.178,3.97,3.467,4.067,3.333,5.8,0.868,1.6,5.062,Bambini et al. (2024),7.875,-4.392857143,-3.828125,6.84375,sapienzanlp/Minerva-350M-base-v1.0,-3.892857143,-3.6875,8.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.564732143,-0.205357143,-4.410714286,-3.921875,-0.488839286,,,-4.203125,-3.7857142857142856,7.171875,-0.4174107142857144
66,solitudine,guscio,,La solitudine è un guscio.,La solitudine è come un guscio.,uovo,10.0,,,,6.0,176.0,17.0,2.86,4.638,4.267,3.2,4.533,6.333,0.747,1.1,5.111,Bambini et al. (2024),6.875,-4.5,-3.953125,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-4.0,-3.640625,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.546875,-0.359375,-4.107142857,-3.46875,-0.638392857,,,-4.15625,-3.626953125,6.80859375,-0.529296875
67,sorriso,sole,,Il sorriso è un sole.,Il sorriso è come un sole.,raggi,7.0,,,,4.0,309.0,485.0,3.849,3.999,4.067,2.667,3.533,4.733,0.615,2.048,5.769,Bambini et al. (2024),7.125,-5.5,-4.303571429,6.125,sapienzanlp/Minerva-350M-base-v1.0,-5.083333333,-4.178571429,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-1.196428571,-0.904761905,-4.958333333,-4.142857143,-0.81547619,,,-5.278645833333333,-4.361607142857143,7.16796875,-0.9170386904761898
68,spaghetto,colla,,Lo spaghetto è una colla.,Lo spaghetto è come una colla.,forbice,9.0,,,,5.0,36.0,12.0,4.266,4.241,3.2,2.8,4.067,4.733,0.753,1.2,4.267,Bambini et al. (2024),6.53125,-4.25,-4.111111111,7.4375,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.861111111,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.138888889,-0.201388889,-4.25,-4.027777778,-0.222222222,,,-4.56640625,-4.336805555555555,7.3125,-0.22960069444444464
69,speranza,faro,,La speranza è un faro.,La speranza è come un faro.,luce,8.0,,,,4.0,480.0,39.0,2.595,4.09,5.0,2.4,4.333,5.333,0.695,2.143,5.833,Bambini et al. (2024),6.90625,-3.910714286,-3.703125,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-3.785714286,-3.25,7.53125,sapienzanlp/Minerva-3B-base-v1.0,-0.207589286,-0.535714286,-3.839285714,-3.5,-0.339285714,,,-4.283854166666667,-3.587053571428572,6.92578125,-0.6968005952380949
70,storia,ruota,,La storia è una ruota.,La storia è come una ruota.,carro,6.0,,,,5.0,1662.0,160.0,2.963,4.416,4.0,3.933,3.467,6.067,0.631,1.619,5.0,Bambini et al. (2024),6.875,-4.4375,-4.214285714,6.375,sapienzanlp/Minerva-350M-base-v1.0,-4.1875,-3.821428571,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.223214286,-0.366071429,-4.270833333,-3.839285714,-0.431547619,,,-4.119791666666667,-3.462053571428572,7.203125,-0.6577380952380949
71,strada,groviera,,La strada è una groviera.,La strada è come una groviera.,parmigiano,6.0,,,,8.0,1293.0,,4.595,,2.235,3.471,3.588,5.667,0.818,1.333,4.5,Bambini et al. (2024),6.8125,-3.625,-4.027777778,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.359375,-3.402777778,8.5,sapienzanlp/Minerva-3B-base-v1.0,0.402777778,0.043402778,-3.734375,-3.555555556,-0.178819444,,,-3.0694444444444446,-3.534375,8.1796875,0.4649305555555552
72,stress,bomba,,Lo stress è una bomba.,Lo stress è come una bomba.,mina,6.0,,,,5.0,81.0,210.0,3.088,4.606,3.867,3.267,3.6,5.6,0.862,1.8,4.818,Bambini et al. (2024),7.125,-4.625,-4.107142857,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.458333333,-3.696428571,7.28125,sapienzanlp/Minerva-3B-base-v1.0,-0.517857143,-0.761904762,-4.75,-3.964285714,-0.785714286,,,-4.5703125,-3.977678571428572,7.28125,-0.5926339285714279
73,svago,oasi,,Lo svago è un'oasi.,Lo svago è come un'oasi.,palma,5.0,,,,4.0,28.0,24.0,3.178,3.416,4.067,2.267,4.333,4.8,0.646,1.1,4.375,Bambini et al. (2024),7.15625,-3.944444444,-3.675,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-3.638888889,-3.525,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.269444444,-0.113888889,-3.694444444,-3.575,-0.119444444,,,-4.28515625,-4.166666666666667,7.51171875,-0.11848958333333304
74,tacco,trampolo,,Il tacco è un trampolo.,Il tacco è come un trampolo.,circo,5.0,,,,8.0,41.0,1.0,4.2,,5.133,1.867,5.0,3.8,0.547,1.9,5.583,Bambini et al. (2024),7.0625,-4.638888889,-4.2,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-3.555555556,-3.65,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.438888889,0.094444444,-3.75,-4.025,0.275,,,-4.6796875,-4.201388888888889,6.84765625,-0.4782986111111107
75,talento,diamante,,Il talento è un diamante.,Il talento è come un diamante.,diadema,7.0,,,,8.0,141.0,30.0,3.057,4.213,3.933,3.2,3.733,6.267,0.62,2.1,5.471,Bambini et al. (2024),7.25,-4.0,-3.34375,6.03125,sapienzanlp/Minerva-350M-base-v1.0,-3.839285714,-3.171875,7.96875,sapienzanlp/Minerva-3B-base-v1.0,-0.65625,-0.667410714,-3.964285714,-3.5,-0.464285714,,,-4.8359375,-3.5535714285714284,7.328125,-1.2823660714285716
76,tempo,torrente,,Il tempo è un torrente.,Il tempo è come un torrente.,ghiaia,5.0,,,,8.0,3598.0,33.0,2.914,4.344,4.467,2.6,5.2,5.467,0.805,1.45,5.455,Bambini et al. (2024),6.875,-4.017857143,-3.578125,6.65625,sapienzanlp/Minerva-350M-base-v1.0,-4.25,-3.546875,7.28125,sapienzanlp/Minerva-3B-base-v1.0,-0.439732143,-0.703125,-4.607142857,-3.59375,-1.013392857,,,-4.3984375,-3.546875,7.65625,-0.8515625
77,tradimento,ferita,,Il tradimento è una ferita.,Il tradimento è come una ferita.,cerotto,10.0,,,,6.0,91.0,92.0,3.093,4.093,5.333,1.933,4.667,5.467,0.738,1.5,6.0,Bambini et al. (2024),6.875,-3.571428571,-3.421875,5.875,sapienzanlp/Minerva-350M-base-v1.0,-3.482142857,-3.421875,7.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.149553571,-0.060267857,-3.553571429,-3.59375,0.040178571,,,-3.9479166666666665,-4.084821428571429,7.40625,0.1369047619047623
78,tramonto,fuoco,,Il tramonto è un fuoco.,Il tramonto è come un fuoco.,cenere,8.0,,,,5.0,68.0,609.0,3.857,4.179,4.176,1.941,5.176,5.067,0.687,1.333,5.882,Bambini et al. (2024),6.9375,-5.0,-4.5,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-5.166666667,-4.642857143,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.5,-0.523809524,-4.9375,-4.482142857,-0.455357143,,,-5.114583333333333,-4.584821428571429,6.8359375,-0.5297619047619042
79,umiliazione,tatuaggio,,L'umiliazione è un tatuaggio.,L'umiliazione è come un tatuaggio.,disegno,11.0,,,,9.0,29.0,22.0,2.844,4.512,1.4,3.8,2.2,6.0,0.73,1.095,4.6,Bambini et al. (2024),7.09375,-3.430555556,-3.0625,6.875,sapienzanlp/Minerva-350M-base-v1.0,-3.611111111,-3.0875,8.0,sapienzanlp/Minerva-3B-base-v1.0,-0.368055556,-0.523611111,-3.777777778,-3.45,-0.327777778,,,-3.829861111111111,-3.3,7.33984375,-0.5298611111111113
80,vaccino,ombrello,,Il vaccino è un ombrello.,Il vaccino è come un ombrello.,pioggia,7.0,,,,8.0,9.0,31.0,4.112,4.649,3.467,3.581,2.53,5.333,0.831,1.368,5.222,Bambini et al. (2024),7.46875,-4.428571429,-3.921875,6.75,sapienzanlp/Minerva-350M-base-v1.0,-4.107142857,-3.53125,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.506696429,-0.575892857,-4.75,-3.703125,-1.046875,,,-4.611607142857143,-3.55859375,8.375,-1.0530133928571432
81,verità,torcia,,La verità è una torcia.,La verità è come una torcia.,grotta,6.0,,,,6.0,519.0,21.0,2.504,4.651,3.4,3.2,3.267,5.2,0.758,1.5,5.235,Bambini et al. (2024),7.03125,-4.428571429,-3.6875,6.5,sapienzanlp/Minerva-350M-base-v1.0,-4.017857143,-3.484375,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.741071429,-0.533482143,-4.375,-3.890625,-0.484375,,,-4.102678571428571,-3.421875,7.44921875,-0.6808035714285712
82,vino,rubino,,Il vino è un rubino.,Il vino è come un rubino.,gioiello,4.0,,,,6.0,283.0,7.0,4.204,4.161,2.765,3.647,3.765,4.933,0.574,1.556,5.647,Bambini et al. (2024),6.90625,-4.285714286,-3.5625,7.375,sapienzanlp/Minerva-350M-base-v1.0,-4.5,-4.15625,8.375,sapienzanlp/Minerva-3B-base-v1.0,-0.723214286,-0.34375,-4.267857143,-4.03125,-0.236607143,,,-4.0,-4.04296875,7.5859375,0.04296875
83,vita,altalena,,La vita è un'altalena.,La vita è come un'altalena.,parco,4.0,,,,8.0,2829.0,17.0,2.883,4.312,5.333,2.133,4.067,5.133,0.777,1.7,4.917,Bambini et al. (2024),7.0,-2.736111111,-2.475,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-2.416666667,-2.3,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.261111111,-0.116666667,-2.611111111,-2.4375,-0.173611111,,,-2.759765625,-2.564236111111111,6.71875,-0.19552951388888884
84,azienda,organismo,A business is a living organism.,Un'azienda è un organismo vivente.,Un'azienda è come un organismo vivente.,,,1.79,3.76,High,,,,,,,,,,,,,Jones and Estes (2006),7.3125,-3.194444444,-3.075,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-2.680555556,-2.4,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.119444444,-0.280555556,-3.097222222,-3.0125,-0.084722222,,,-3.435546875,-2.717013888888889,7.875,-0.7185329861111112
85,cucina,organismo,A kitchen is a living organism.,Una cucina è un organismo vivente.,Una cucina è come un organismo vivente.,,,1.79,2.85,Low,,,,,,,,,,,,,Jones and Estes (2006),7.375,-3.75,-3.458333333,6.5,sapienzanlp/Minerva-350M-base-v1.0,-3.78125,-3.222222222,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.291666667,-0.559027778,-3.921875,-3.611111111,-0.310763889,,,-4.337053571428571,-3.78515625,7.984375,-0.5518973214285712
86,portiere,ragno,A goalie is a spider.,Un portiere è un ragno.,Un portiere è come un ragno.,,,1.82,3.27,High,,,,,,,,,,,,,Jones and Estes (2006),6.75,-4.571428571,-4.03125,6.59375,sapienzanlp/Minerva-350M-base-v1.0,-5.035714286,-4.3125,7.40625,sapienzanlp/Minerva-3B-base-v1.0,-0.540178571,-0.723214286,-5.035714286,-4.5,-0.535714286,,,-5.517857142857143,-4.70703125,7.4765625,-0.8108258928571432
87,pescatore,ragno,A fisherman is a spider.,Un pescatore è un ragno.,Un pescatore è come un ragno.,,,1.82,1.76,Low,,,,,,,,,,,,,Jones and Estes (2006),6.21875,-4.3125,-4.0,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-4.375,-4.055555556,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.3125,-0.319444444,-4.3125,-4.333333333,0.020833333,,,-4.55859375,-3.8472222222222223,7.38671875,-0.7113715277777777
88,macchina,barca,His old car is a boat.,La sua vecchia macchina è una barca.,La sua vecchia macchina è come una barca.,,,2.42,3.21,High,,,,,,,,,,,,,Jones and Estes (2006),6.46875,-5.09375,-4.888888889,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-4.75,-4.666666667,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.204861111,-0.083333333,-5.3125,-4.944444444,-0.368055556,,,-4.75,-4.631944444444445,7.60546875,-0.11805555555555536
89,tosaerba,barca,His old lawn mower is a boat.,Il suo vecchio tosaerba è una barca.,Il suo vecchio tosaerba è come una barca.,,,2.42,2.61,Low,,,,,,,,,,,,,Jones and Estes (2006),6.4375,-4.825,-4.545454545,7.1875,sapienzanlp/Minerva-350M-base-v1.0,-4.55,-4.568181818,6.75,sapienzanlp/Minerva-3B-base-v1.0,-0.279545455,0.018181818,-4.725,-4.386363636,-0.338636364,,,-4.4,-4.375,7.6484375,-0.025000000000000355
90,castori,boscaioli,Beavers are lumberjacks.,I castori sono boscaioli.,I castori sono come boscaioli.,,,2.58,5.24,High,,,,,,,,,,,,,Jones and Estes (2006),7.25,-4.222222222,-3.875,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-3.388888889,-3.675,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.347222222,0.286111111,-3.75,-4.15,0.4,,,-3.6006944444444446,-3.95625,7.1484375,0.3555555555555552
91,termiti,boscaioli,Termites are lumberjacks.,Le termiti sono boscaioli.,Le termiti sono come boscaioli.,,,2.58,4.18,Low,,,,,,,,,,,,,Jones and Estes (2006),7.0,-4.25,-4.075,6.96875,sapienzanlp/Minerva-350M-base-v1.0,-4.25,-4.0,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.175,-0.25,-4.055555556,-4.15,0.094444444,,,-3.4809027777777777,-3.9625,7.09375,0.48159722222222223
92,stomaci,botti,Some stomachs are barrels.,Alcuni stomaci sono botti.,Alcuni stomaci sono come botti.,,,2.64,4.7,High,,,,,,,,,,,,,Jones and Estes (2006),7.25,-7.208333333,-6.535714286,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-7.5,-6.25,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.672619048,-1.25,-7.541666667,-6.25,-1.291666667,,,-5.924107142857143,-4.7890625,6.94140625,-1.1350446428571432
93,vesciche,botti,Some bladders are barrels.,Alcune vesciche sono botti.,Alcune vesciche sono come botti.,,,2.64,3.59,Low,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-6.464285714,-5.84375,6.875,sapienzanlp/Minerva-350M-base-v1.0,-6.678571429,-5.875,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.620535714,-0.803571429,-6.964285714,-6.40625,-0.558035714,,,-6.330357142857143,-5.5546875,6.7890625,-0.7756696428571432
94,lezioni,sonniferi,Some lectures are sleeping pills.,Alcune lezioni sono sonniferi.,Alcune lezioni sono come sonniferi.,,,2.67,6.09,High,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-5.892857143,-5.15625,6.46875,sapienzanlp/Minerva-350M-base-v1.0,-6.035714286,-5.21875,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.736607143,-0.816964286,-6.142857143,-5.46875,-0.674107143,,,-5.339285714285714,-4.796875,6.98828125,-0.5424107142857144
95,comici,sonniferi,Some comedians are sleeping pills.,Alcuni comici sono sonniferi.,Alcuni comici sono come sonniferi.,,,2.67,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006),6.375,-4.6875,-4.527777778,6.25,sapienzanlp/Minerva-350M-base-v1.0,-5.09375,-4.527777778,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.159722222,-0.565972222,-5.40625,-4.833333333,-0.572916667,,,-5.62109375,-4.78125,6.3046875,-0.83984375
96,ricerca,alpinismo,Research is mountain climbing.,La ricerca è l'alpinismo.,La ricerca è come l'alpinismo.,,,2.97,4.27,High,,,,,,,,,,,,,Jones and Estes (2006),7.1875,-3.916666667,-3.8,7.375,sapienzanlp/Minerva-350M-base-v1.0,-4.222222222,-3.35,6.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.116666667,-0.872222222,-4.083333333,-3.6,-0.483333333,,,-3.7118055555555554,-3.165625,8.125,-0.5461805555555554
97,valutazione,alpinismo,Grading is mountain climbing.,La valutazione è l'alpinismo.,La valutazione è come l'alpinismo.,,,2.97,2.9,Low,,,,,,,,,,,,,Jones and Estes (2006),6.625,-4.055555556,-3.8,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-4.472222222,-3.625,6.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.255555556,-0.847222222,-4.666666667,-3.825,-0.841666667,,,-4.333333333333333,-3.45625,8.984375,-0.8770833333333332
98,sguardo,ghiaccio,Her unflinching gaze is ice.,Il suo sguardo impassibile è ghiaccio.,Il suo sguardo impassibile è come ghiaccio.,,,3.0,4.48,High,,,,,,,,,,,,,Jones and Estes (2006),6.59375,-4.361111111,-4.3,6.28125,sapienzanlp/Minerva-350M-base-v1.0,-4.111111111,-3.775,6.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.061111111,-0.336111111,-4.916666667,-4.45,-0.466666667,,,-4.270833333333333,-3.7625,7.5546875,-0.5083333333333329
99,cenno,ghiaccio,Her quick nod is ice.,Il suo rapido cenno è ghiaccio.,Il suo rapido cenno è come ghiaccio.,,,3.0,3.61,Low,,,,,,,,,,,,,Jones and Estes (2006),6.65625,-6.0625,-6.166666667,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-5.9375,-5.833333333,7.5625,sapienzanlp/Minerva-3B-base-v1.0,0.104166667,-0.104166667,-6.3125,-5.861111111,-0.451388889,,,-5.890625,-5.381944444444445,6.91015625,-0.5086805555555554
100,madre,mulo,Her mother is a mule.,Sua madre è un mulo.,Sua madre è come un mulo.,,,3.0,3.17,High,,,,,,,,,,,,,Jones and Estes (2006),7.03125,-5.178571429,-5.0625,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.5,-4.1875,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.116071429,-0.3125,-4.232142857,-4.1875,-0.044642857,,,-4.674107142857143,-4.61328125,7.22265625,-0.06082589285714324
101,parrucchiere,mulo,Her hairdresser is a mule.,Il suo parrucchiere è un mulo.,Il suo parrucchiere è come un mulo.,,,3.0,2.03,Low,,,,,,,,,,,,,Jones and Estes (2006),6.375,-3.8,-3.568181818,7.0,sapienzanlp/Minerva-350M-base-v1.0,-3.8,-3.863636364,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.231818182,0.063636364,-3.85,-3.954545455,0.104545455,,,-4.423611111111111,-4.375,7.14453125,-0.048611111111110716
102,insulti,rasoi,Insults are razors.,Gli insulti sono rasoi.,Gli insulti sono come rasoi.,,,3.18,5.41,High,,,,,,,,,,,,,Jones and Estes (2006),7.1875,-4.4375,-3.833333333,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.28125,-4.0,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.604166667,-0.28125,-4.625,-4.277777778,-0.347222222,,,-5.59375,-4.839285714285714,7.171875,-0.7544642857142856
103,valutazioni,rasoi,Evaluations are razors.,Le valutazioni sono rasoi.,Le valutazioni sono come rasoi.,,,3.18,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006),6.75,-6.0,-4.96875,7.125,sapienzanlp/Minerva-350M-base-v1.0,-5.428571429,-4.625,7.125,sapienzanlp/Minerva-3B-base-v1.0,-1.03125,-0.803571429,-5.785714286,-5.21875,-0.566964286,,,-6.328125,-5.236607142857143,7.265625,-1.0915178571428568
