ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N_interpretations,Strength,resources,Simile_come_cloze_surprisal__sapienzanlp_Minerva_1B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_3B_base_v1_0,source_llm__sapienzanlp_Minerva_3B_base_v1_0,Diff_Log_Likelihood_Minerva_350M_base_v1_0,Diff_Log_Likelihood_Minerva_3B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Diff_Log_Likelihood_Minerva_1B_base_v1_0,Unnamed: 38,Unnamed: 39,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_7B_base_v1_0,Diff_Log_Likelihood_Minerva_7B_base_v1_0
104,fumo,bomba,Smoking is a time bomb.,Il fumo è una bomba a orologeria.,Il fumo è come una bomba a orologeria.,,,3.18,5.24,High,,,,,,,,,,,,,Jones and Estes (2006),7.125,-2.7875,-2.715909091,6.4375,sapienzanlp/Minerva-350M-base-v1.0,-2.8625,-2.727272727,6.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.071590909,-0.135227273,-2.85,-2.840909091,-0.009090909,,,-2.7046875,-2.5767045454545454,7.55859375,-0.1279829545454545
105,cocaina,bomba,Cocaine is a time bomb.,La cocaina è una bomba a orologeria.,La cocaina è come una bomba a orologeria.,,,3.18,4.66,Low,,,,,,,,,,,,,Jones and Estes (2006),6.875,-2.784090909,-2.75,6.5,sapienzanlp/Minerva-350M-base-v1.0,-2.636363636,-2.604166667,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.034090909,-0.03219697,-2.806818182,-2.708333333,-0.098484848,,,-2.940625,-2.882102272727273,7.796875,-0.05852272727272689
106,istruzione,lanterna,Education is a lantern.,L'istruzione è una lanterna.,L'istruzione è come una lanterna.,,,3.21,5.17,High,,,,,,,,,,,,,Jones and Estes (2006),7.03125,-4.055555556,-3.35,7.21875,sapienzanlp/Minerva-350M-base-v1.0,-3.861111111,-3.325,6.625,sapienzanlp/Minerva-3B-base-v1.0,-0.705555556,-0.536111111,-3.611111111,-3.275,-0.336111111,,,-3.482638888888889,-2.9484375,7.23046875,-0.534201388888889
107,dibattito,lanterna,Debate is a lantern.,Il dibattito è una lanterna.,Il dibattito è come una lanterna.,,,3.21,3.18,Low,,,,,,,,,,,,,Jones and Estes (2006),6.78125,-4.5,-3.805555556,6.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.65625,-4.194444444,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.694444444,-0.461805556,-4.3125,-4.083333333,-0.229166667,,,-4.54296875,-3.9895833333333335,8.390625,-0.5533854166666665
108,marito,gioiello,Her husband is a gem.,Suo marito è un gioiello.,Suo marito è come un gioiello.,,,3.45,4.97,High,,,,,,,,,,,,,Jones and Estes (2006),7.1875,-5.416666667,-4.964285714,6.125,sapienzanlp/Minerva-350M-base-v1.0,-5.25,-4.607142857,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.452380952,-0.642857143,-5.270833333,-5.0,-0.270833333,,,-5.104166666666667,-4.928571428571429,7.4296875,-0.17559523809523814
109,ex marito,gioiello,Her ex-husband is a gem.,Il suo ex marito è un gioiello.,Il suo ex marito è come un gioiello.,,,3.45,3.64,Low,,,,,,,,,,,,,Jones and Estes (2006),6.78125,-4.84375,-4.416666667,6.1875,sapienzanlp/Minerva-350M-base-v1.0,-4.46875,-4.333333333,6.84375,sapienzanlp/Minerva-3B-base-v1.0,-0.427083333,-0.135416667,-4.875,-4.611111111,-0.263888889,,,-4.48828125,-4.604166666666667,7.765625,0.11588541666666696
110,gallo,sveglia,A rooster is an alarm clock.,Un gallo è una sveglia.,Un gallo è come una sveglia.,,,3.48,5.52,High,,,,,,,,,,,,,Jones and Estes (2006),6.15625,-5.5,-4.9375,6.75,sapienzanlp/Minerva-350M-base-v1.0,-4.964285714,-4.375,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.5625,-0.589285714,-5.321428571,-5.4375,0.116071429,,,-4.763392857142857,-4.28125,7.37890625,-0.48214285714285676
111,pettirosso,sveglia,A robin is an alarm clock.,Un pettirosso è una sveglia.,Un pettirosso è come una sveglia.,,,3.48,3.88,Low,,,,,,,,,,,,,Jones and Estes (2006),6.0,-4.8125,-4.25,6.84375,sapienzanlp/Minerva-350M-base-v1.0,-5.09375,-4.416666667,7.03125,sapienzanlp/Minerva-3B-base-v1.0,-0.5625,-0.677083333,-4.59375,-4.25,-0.34375,,,-4.58984375,-4.138888888888889,7.2890625,-0.4509548611111107
112,corso di informatica,barzelletta,My computer skills course is a joke.,Il mio corso di informatica è una barzelletta.,Il mio corso di informatica è come una barzelletta.,,,3.52,5.48,High,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-3.354166667,-3.307692308,6.25,sapienzanlp/Minerva-350M-base-v1.0,-3.291666667,-3.211538462,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.046474359,-0.080128205,-3.416666667,-3.288461538,-0.128205128,,,-3.34375,-3.3100961538461537,7.77734375,-0.033653846153846256
113,corso di chimica organica,barzelletta,My organic chemistry course is a joke.,Il mio corso di chimica organica è una barzelletta.,Il mio corso di chimica organica è come una barzelletta.,,,3.52,4.31,Low,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-3.196428571,-3.166666667,7.03125,sapienzanlp/Minerva-350M-base-v1.0,-3.071428571,-3.016666667,6.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.029761905,-0.054761905,-3.267857143,-3.166666667,-0.101190476,,,-3.1947115384615383,-3.2544642857142856,7.6484375,0.05975274725274726
114,mente,arena,The mind is an arena.,La mente è un'arena.,La mente è come un'arena.,,,3.55,4.72,High,,,,,,,,,,,,,Jones and Estes (2006),7.25,-3.421875,-3.333333333,6.4375,sapienzanlp/Minerva-350M-base-v1.0,-3.5,-3.291666667,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.088541667,-0.208333333,-3.59375,-3.263888889,-0.329861111,,,-4.366071428571429,-4.2578125,7.59765625,-0.10825892857142883
115,subconscio,arena,The subconscious is an arena.,Il subconscio è un'arena.,Il subconscio è come un'arena.,,,3.55,4.03,Low,,,,,,,,,,,,,Jones and Estes (2006),6.6875,-3.55,-3.295454545,6.1875,sapienzanlp/Minerva-350M-base-v1.0,-3.425,-3.181818182,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.254545455,-0.243181818,-3.525,-3.181818182,-0.343181818,,,-3.8055555555555554,-3.615625,6.66796875,-0.18993055555555527
116,negozi,giungle,Many stores are jungles.,Molti negozi sono giungle.,Molti negozi sono come giungle.,,,3.55,4.36,High,,,,,,,,,,,,,Jones and Estes (2006),7.1875,-6.75,-6.178571429,6.96875,sapienzanlp/Minerva-350M-base-v1.0,-6.5,-5.392857143,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.571428571,-1.107142857,-6.791666667,-5.75,-1.041666667,,,-6.375,-5.366071428571429,7.12890625,-1.0089285714285712
117,spiagge,giungle,Many beaches are jungles.,Molte spiagge sono giungle.,Molte spiagge sono come giungle.,,,3.55,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006),7.46875,-6.625,-5.821428571,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-6.208333333,-5.5,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.803571429,-0.708333333,-6.5,-5.321428571,-1.178571429,,,-6.739583333333333,-5.620535714285714,6.80078125,-1.1190476190476186
118,classe dell'asilo,zoo,His kindergarten class is a zoo.,La sua classe dell'asilo è uno zoo.,La sua classe dell'asilo è come uno zoo.,,,3.58,5.69,High,,,,,,,,,,,,,Jones and Estes (2006),6.25,-4.020833333,-3.884615385,6.25,sapienzanlp/Minerva-350M-base-v1.0,-3.666666667,-3.596153846,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.136217949,-0.070512821,-4.354166667,-4.134615385,-0.219551282,,,-4.221875,-4.196022727272728,6.73828125,-0.02585227272727142
119,classe universitaria,zoo,His college class is a zoo.,La sua classe universitaria è uno zoo.,La sua classe universitaria è come uno zoo.,,,3.58,4.64,Low,,,,,,,,,,,,,Jones and Estes (2006),6.8125,-4.425,-4.045454545,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.35,-4.272727273,7.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.379545455,-0.077272727,-4.55,-4.318181818,-0.231818182,,,-5.20703125,-4.927083333333333,7.078125,-0.27994791666666696
120,vialetto,pista di pattinaggio,The driveway is an ice rink.,Il vialetto è una pista di pattinaggio.,Il vialetto è come una pista di pattinaggio.,,,3.64,4.0,High,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-3.041666667,-2.788461538,7.5625,sapienzanlp/Minerva-350M-base-v1.0,-3.291666667,-2.653846154,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.253205128,-0.637820513,-2.979166667,-2.75,-0.229166667,,,-3.4829545454545454,-3.109375,7.6328125,-0.3735795454545454
121,prato,pista di pattinaggio,The front lawn is an ice rink.,Il prato davanti casa è una pista di pattinaggio.,Il prato davanti casa è come una pista di pattinaggio.,,,3.64,2.86,Low,,,,,,,,,,,,,Jones and Estes (2006),6.3125,-3.153846154,-2.928571429,6.84375,sapienzanlp/Minerva-350M-base-v1.0,-2.942307692,-2.803571429,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.225274725,-0.138736264,-3.25,-2.964285714,-0.285714286,,,-3.8892045454545454,-3.5182291666666665,7.8125,-0.3709753787878789
122,esame finale di geografia,impresa,Her final exam in Geography was a bear.,Il suo esame finale di geografia era un'impresa.,Il suo esame finale di geografia era come un'impresa.,,,3.73,3.41,High,,,,,,,,,,,,,Jones and Estes (2006),6.3125,-4.333333333,-4.442307692,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.416666667,-4.365384615,7.375,sapienzanlp/Minerva-3B-base-v1.0,0.108974359,-0.051282051,-4.541666667,-4.519230769,-0.022435897,,,-4.923295454545454,-5.0390625,8.4140625,0.11576704545454586
123,estati libere,impresa,Having summers off was a bear.,Avere le estati libere era un'impresa.,Avere le estati libere era come un'impresa.,,,3.73,2.12,Low,,,,,,,,,,,,,Jones and Estes (2006),6.25,-4.431818182,-4.666666667,6.25,sapienzanlp/Minerva-350M-base-v1.0,-4.431818182,-4.6875,7.15625,sapienzanlp/Minerva-3B-base-v1.0,0.234848485,0.255681818,-4.227272727,-4.3125,0.085227273,,,-5.2,-5.556818181818182,8.078125,0.3568181818181815
124,bugia,pugnale,A lie is a dagger.,Una bugia è un pugnale.,Una bugia è come un pugnale.,,,3.73,5.69,High,,,,,,,,,,,,,Jones and Estes (2006),7.03125,-3.638888889,-3.45,6.28125,sapienzanlp/Minerva-350M-base-v1.0,-3.5,-3.175,7.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.188888889,-0.325,-3.833333333,-3.25,-0.583333333,,,-4.03515625,-3.298611111111111,6.84765625,-0.7365451388888888
125,desiderio,pugnale,A wish is a dagger.,Un desiderio è un pugnale.,Un desiderio è come un pugnale.,,,3.73,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006),6.8125,-4.53125,-4.083333333,6.75,sapienzanlp/Minerva-350M-base-v1.0,-4.375,-3.944444444,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.447916667,-0.430555556,-4.25,-3.861111111,-0.388888889,,,-5.080357142857143,-4.25390625,6.8828125,-0.8264508928571432
126,brutta notizia,terremoto,The bad news was an earthquake.,La brutta notizia è stata un terremoto.,La brutta notizia è stata come un terremoto.,,,3.85,4.79,High,,,,,,,,,,,,,Jones and Estes (2006),6.84375,-4.03125,-4.138888889,6.5,sapienzanlp/Minerva-350M-base-v1.0,-4.3125,-3.777777778,7.875,sapienzanlp/Minerva-3B-base-v1.0,0.107638889,-0.534722222,-4.5,-4.027777778,-0.472222222,,,-4.13671875,-3.8819444444444446,7.3984375,-0.25477430555555536
127,buona notizia,terremoto,The good news was an earthquake.,La buona notizia è stata un terremoto.,La buona notizia è stata come un terremoto.,,,3.85,2.0,Low,,,,,,,,,,,,,Jones and Estes (2006),6.96875,-4.03125,-4.083333333,6.375,sapienzanlp/Minerva-350M-base-v1.0,-4.34375,-3.75,7.71875,sapienzanlp/Minerva-3B-base-v1.0,0.052083333,-0.59375,-4.625,-4.083333333,-0.541666667,,,-4.1953125,-4.100694444444445,6.85546875,-0.09461805555555536
128,zoo,museo,A zoo is a museum.,Uno zoo è un museo.,Uno zoo è come un museo.,,,3.94,4.14,High,,,,,,,,,,,,,Jones and Estes (2006),8.0,-3.714285714,-3.5,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.017857143,-3.78125,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.214285714,-0.236607143,-3.946428571,-3.953125,0.006696429,,,-5.671875,-4.65625,8.1875,-1.015625
129,conferenza,museo,A conference is a museum.,Una conferenza è un museo.,Una conferenza è come un museo.,,,3.94,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006),7.40625,-5.625,-4.714285714,6.1875,sapienzanlp/Minerva-350M-base-v1.0,-5.625,-4.678571429,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.910714286,-0.946428571,-5.708333333,-5.035714286,-0.672619048,,,-5.953125,-4.776785714285714,7.71484375,-1.1763392857142856
130,avventura,montagna russa,Adventure is a roller coaster.,L'avventura è una montagna russa.,L'avventura è come una montagna russa.,,,3.97,5.66,High,,,,,,,,,,,,,Jones and Estes (2006),6.65625,-3.8125,-3.430555556,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.555555556,8.0625,sapienzanlp/Minerva-3B-base-v1.0,-0.381944444,-0.506944444,-3.65625,-3.486111111,-0.170138889,,,-4.203125,-3.5416666666666665,8.046875,-0.6614583333333335
131,viaggiare,montagna russa,Traveling is a roller coaster.,Viaggiare è una montagna russa.,Viaggiare è come una montagna russa.,,,3.97,4.79,Low,,,,,,,,,,,,,Jones and Estes (2006),6.875,-4.321428571,-3.609375,6.65625,sapienzanlp/Minerva-350M-base-v1.0,-4.214285714,-4.03125,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.712053571,-0.183035714,-4.357142857,-3.65625,-0.700892857,,,-4.243303571428571,-4.16796875,6.1875,-0.07533482142857117
132,impronta digitale,ritratto,That criminal's fingerprint is a portrait.,L'impronta digitale di quel criminale è un ritratto.,L'impronta digitale di quel criminale è come un ritratto.,,,4.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006),7.125,-4.125,-3.942307692,6.25,sapienzanlp/Minerva-350M-base-v1.0,-4.083333333,-4.0,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.182692308,-0.083333333,-4.3125,-4.230769231,-0.081730769,,,-4.480113636363637,-4.200520833333333,8.21875,-0.27959280303030365
133,percorso,ritratto,That criminal's pathway is a portrait.,Il percorso di quel criminale è un ritratto.,Il percorso di quel criminale è come un ritratto.,,,4.03,2.79,Low,,,,,,,,,,,,,Jones and Estes (2006),6.75,-5.694444444,-5.4,6.40625,sapienzanlp/Minerva-350M-base-v1.0,-5.611111111,-5.25,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.294444444,-0.361111111,-5.555555556,-5.125,-0.430555556,,,-5.614583333333333,-5.346875,8.09375,-0.2677083333333332
134,insegnanti,enciclopedie,Some teachers are encyclopedias.,Alcuni insegnanti sono enciclopedie.,Alcuni insegnanti sono come enciclopedie.,,,4.09,5.64,High,,,,,,,,,,,,,Jones and Estes (2006),7.5,-5.21875,-4.75,7.03125,sapienzanlp/Minerva-350M-base-v1.0,-4.90625,-4.416666667,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.46875,-0.489583333,-5.15625,-4.75,-0.40625,,,-4.8515625,-4.097222222222222,6.9296875,-0.7543402777777777
135,allenatori,enciclopedie,Some coaches are encyclopedias.,Alcuni allenatori sono enciclopedie.,Alcuni allenatori sono come enciclopedie.,,,4.09,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006),7.375,-4.777777778,-4.45,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-4.472222222,-3.925,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.327777778,-0.547222222,-4.666666667,-4.45,-0.216666667,,,-4.88671875,-4.409722222222222,6.26953125,-0.4769965277777777
136,nonna,pesca,My grandmother is a peach.,Mia nonna è una pesca.,Mia nonna è come una pesca.,,,4.09,4.82,High,,,,,,,,,,,,,Jones and Estes (2006),7.25,-6.291666667,-5.571428571,6.0,sapienzanlp/Minerva-350M-base-v1.0,-4.979166667,-4.607142857,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.720238095,-0.37202381,-5.375,-4.821428571,-0.553571429,,,-5.135416666666667,-5.245535714285714,7.21484375,0.11011904761904745
137,ragazzo,pesca,My boyfriend is a peach.,Il mio ragazzo è una pesca.,Il mio ragazzo è come una pesca.,,,4.09,3.41,Low,,,,,,,,,,,,,Jones and Estes (2006),5.90625,-4.964285714,-4.53125,6.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.553571429,-4.28125,6.5625,sapienzanlp/Minerva-3B-base-v1.0,-0.433035714,-0.272321429,-4.642857143,-4.1875,-0.455357143,,,-4.959821428571429,-4.98828125,7.390625,0.028459821428571175
138,peperoncini jalapeño,fuoco,Jalapeño peppers are fire.,I peperoncini jalapeño sono fuoco.,I peperoncini jalapeño sono come fuoco.,,,4.12,5.03,High,,,,,,,,,,,,,Jones and Estes (2006),7.03125,-4.295454545,-3.895833333,7.5625,sapienzanlp/Minerva-350M-base-v1.0,-3.681818182,-3.520833333,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.399621212,-0.160984848,-4.045454545,-3.895833333,-0.149621212,,,-3.63125,-3.53125,7.13671875,-0.10000000000000009
139,peperoni,fuoco,Bell peppers are fire.,I peperoni sono fuoco.,I peperoni sono come fuoco.,,,4.12,3.97,Low,,,,,,,,,,,,,Jones and Estes (2006),7.25,-5.583333333,-4.964285714,7.375,sapienzanlp/Minerva-350M-base-v1.0,-5.583333333,-5.321428571,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.619047619,-0.261904762,-6.291666667,-5.607142857,-0.68452381,,,-6.078125,-5.303571428571429,7.81640625,-0.7745535714285712
140,divorzi,tempeste,Some divorces are storms.,Alcuni divorzi sono tempeste.,Alcuni divorzi sono come tempeste.,,,4.12,5.7,High,,,,,,,,,,,,,Jones and Estes (2006),6.5,-5.642857143,-5.5,6.25,sapienzanlp/Minerva-350M-base-v1.0,-5.428571429,-4.71875,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.142857143,-0.709821429,-6.035714286,-5.34375,-0.691964286,,,-5.464285714285714,-4.9609375,7.1015625,-0.5033482142857144
141,adozioni,tempeste,Some adoptions are storms.,Alcune adozioni sono tempeste.,Alcune adozioni sono come tempeste.,,,4.12,2.59,Low,,,,,,,,,,,,,Jones and Estes (2006),6.6875,-5.785714286,-5.625,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-6.035714286,-4.96875,7.25,sapienzanlp/Minerva-3B-base-v1.0,-0.160714286,-1.066964286,-5.428571429,-5.25,-0.178571429,,,-4.81640625,-4.503472222222222,6.37890625,-0.3129340277777777
142,sarcasmo,velo,Sarcasm is a veil.,Il sarcasmo è un velo.,Il sarcasmo è come un velo.,,,4.15,4.67,High,,,,,,,,,,,,,Jones and Estes (2006),7.375,-4.5,-3.972222222,6.53125,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.638888889,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.527777778,-0.423611111,-4.4375,-3.916666667,-0.520833333,,,-4.203125,-3.982638888888889,7.1640625,-0.22048611111111116
143,ostilità,velo,Hostility is a veil.,L'ostilità è un velo.,L'ostilità è come un velo.,,,4.15,3.79,Low,,,,,,,,,,,,,Jones and Estes (2006),7.15625,-4.125,-3.75,7.5,sapienzanlp/Minerva-350M-base-v1.0,-4.3125,-3.833333333,7.40625,sapienzanlp/Minerva-3B-base-v1.0,-0.375,-0.479166667,-4.375,-3.861111111,-0.513888889,,,-4.31640625,-3.8541666666666665,7.125,-0.4622395833333335
144,musica,medicina,Music can be medicine.,La musica è una medicina.,La musica è come una medicina.,,,4.18,6.18,High,,,,,,,,,,,,,Jones and Estes (2006),7.34375,-3.833333333,-3.5,5.90625,sapienzanlp/Minerva-350M-base-v1.0,-3.958333333,-3.5,7.71875,sapienzanlp/Minerva-3B-base-v1.0,-0.333333333,-0.458333333,-3.666666667,-3.285714286,-0.380952381,,,-3.6458333333333335,-3.515625,7.54296875,-0.13020833333333348
145,reality show,medicina,Reality TV can be medicine.,I reality show sono una medicina.,I reality show sono come una medicina.,,,4.18,2.69,Low,,,,,,,,,,,,,Jones and Estes (2006),7.125,-5.142857143,-4.34375,5.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.821428571,-4.40625,7.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.799107143,-0.415178571,-4.964285714,-4.5,-0.464285714,,,-5.080357142857143,-4.203125,6.94921875,-0.8772321428571432
146,modella,acciuga,That fashion model is a rail.,Quella modella è un'acciuga.,Quella modella è come un'acciuga.,,,4.21,5.3,High,,,,,,,,,,,,,Jones and Estes (2006),7.09375,-4.333333333,-4.15,6.71875,sapienzanlp/Minerva-350M-base-v1.0,-4.361111111,-4.625,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.183333333,0.263888889,-4.5,-4.275,-0.225,,,-5.12890625,-5.125,8.015625,-0.00390625
147,calciatore,acciuga,That football player is a rail.,Quel calciatore è un'acciuga.,Quel calciatore è come un'acciuga.,,,4.21,2.28,Low,,,,,,,,,,,,,Jones and Estes (2006),7.875,-5.3125,-4.75,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-5.0,-4.944444444,8.125,sapienzanlp/Minerva-3B-base-v1.0,-0.5625,-0.055555556,-5.125,-4.777777778,-0.347222222,,,-5.00390625,-4.774305555555555,7.86328125,-0.22960069444444464
148,alcol,stampella,Alcohol is a crutch.,L'alcol è una stampella.,L'alcol è come una stampella.,,,4.36,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),6.8125,-4.15625,-3.666666667,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.125,-3.472222222,7.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.489583333,-0.652777778,-4.28125,-3.722222222,-0.559027778,,,-3.9609375,-3.4965277777777777,7.22265625,-0.4644097222222223
149,pizza,stampella,Pizza is a crutch.,La pizza è una stampella.,La pizza è come una stampella.,,,4.36,2.33,Low,,,,,,,,,,,,,Jones and Estes (2006),7.15625,-4.714285714,-3.796875,6.875,sapienzanlp/Minerva-350M-base-v1.0,-4.892857143,-4.125,7.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.917410714,-0.767857143,-5.25,-4.3125,-0.9375,,,-4.941964285714286,-4.86328125,8.1875,-0.07868303571428559
150,ballerini,farfalle,Dancers can be butterflies.,I ballerini sono farfalle.,I ballerini sono come farfalle.,,,4.39,4.66,High,,,,,,,,,,,,,Jones and Estes (2006),6.5,-4.125,-4.0,6.75,sapienzanlp/Minerva-350M-base-v1.0,-4.21875,-3.611111111,7.46875,sapienzanlp/Minerva-3B-base-v1.0,-0.125,-0.607638889,-4.375,-3.944444444,-0.430555556,,,-4.571428571428571,-3.5625,7.23828125,-1.0089285714285712
151,calciatori,farfalle,Soccer players can be butterflies.,I calciatori sono farfalle.,I calciatori sono come farfalle.,,,4.39,2.64,Low,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-4.535714286,-4.375,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.642857143,-3.859375,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.160714286,-0.783482143,-4.678571429,-4.03125,-0.647321429,,,-5.416666666666667,-4.254464285714286,6.984375,-1.1622023809523814
152,disciplina,fertilizzante,Discipline is fertilizer.,La disciplina è un fertilizzante.,La disciplina è come un fertilizzante.,,,4.61,3.38,High,,,,,,,,,,,,,Jones and Estes (2006),7.6875,-5.428571429,-4.8125,6.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.964285714,-4.65625,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.616071429,-0.308035714,-5.607142857,-5.0,-0.607142857,,,-5.294642857142857,-4.58984375,8.8359375,-0.7047991071428568
153,controllo,fertilizzante,Control is fertilizer.,Il controllo è un fertilizzante.,Il controllo è come un fertilizzante.,,,4.61,2.73,Low,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-5.178571429,-4.1875,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.857142857,-4.4375,6.28125,sapienzanlp/Minerva-3B-base-v1.0,-0.991071429,-0.419642857,-5.0,-4.53125,-0.46875,,,-4.959821428571429,-4.328125,7.90625,-0.6316964285714288
154,albero,ombrello,A tree is an umbrella.,Un albero è un ombrello.,Un albero è come un ombrello.,,,4.61,4.21,High,,,,,,,,,,,,,Jones and Estes (2006),6.53125,-4.303571429,-3.734375,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.75,-4.25,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.569196429,-0.5,-4.428571429,-3.953125,-0.475446429,,,-4.495535714285714,-3.66015625,6.8203125,-0.8353794642857144
155,rivista,ombrello,A magazine is an umbrella.,Una rivista è un ombrello.,Una rivista è come un ombrello.,,,4.61,2.15,Low,,,,,,,,,,,,,Jones and Estes (2006),7.3125,-4.964285714,-4.3125,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.785714286,-4.09375,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.651785714,-0.691964286,-4.964285714,-4.15625,-0.808035714,,,-5.107142857142857,-4.05859375,7.4609375,-1.0485491071428568
156,amore,fiore,Love is a flower.,L'amore è un fiore.,L'amore è come un fiore.,,,4.64,5.34,High,,,,,,,,,,,,,Jones and Estes (2006),6.6875,-3.303571429,-2.703125,6.375,sapienzanlp/Minerva-350M-base-v1.0,-3.196428571,-2.828125,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.600446429,-0.368303571,-3.160714286,-2.84375,-0.316964286,,,-3.314732142857143,-2.876953125,7.6328125,-0.4377790178571428
